stt,file_path,duration
5,F:\Doll\Video\32CE.mp4,5:28
4,F:\Doll\Video\31CE.mp4,7:36
8,F:\Doll\Video\35CE.mp4,5:51
2,F:\Doll\Video\29CE.mp4,5:19
3,F:\Doll\Video\30CE.mp4,7:12
6,F:\Doll\Video\33CE.mp4,5:20
1,F:\Doll\Video\28CE.mp4,5:47
7,F:\Doll\Video\34CE.mp4,6:25
11,F:\Doll\Video\38CE.mp4,6:55
9,F:\Doll\Video\36CE.mp4,5:42
10,F:\Doll\Video\37CE.mp4,5:05
16,F:\Doll\Video\43CE sua lai.mp4,5:29
14,F:\Doll\Video\41CE.mp4,5:59
15,F:\Doll\Video\42CE.mp4,6:50
12,F:\Doll\Video\39CE.mp4,4:58
13,F:\Doll\Video\40CE.mp4,5:39
17,F:\Doll\Video\43CE.mp4,5:29
19,F:\Doll\Video\Doll-E52H.mp4,6:01
18,F:\Doll\Video\Doll-E51H-new.mp4,7:19
21,F:\Doll\Video\Doll-E55.mp4,5:53
20,F:\Doll\Video\Doll-E53H.mp4,6:41
23,F:\Doll\Video\Doll-K1-V102 - duyệt.mp4,7:54
22,F:\Doll\Video\Doll-K1-V101 - duyệt.mp4,6:25
26,F:\Doll\Video\Doll-K1-v68 - duyệt.mp4,10:54
24,F:\Doll\Video\Doll-k1-v103 - duyệt.mp4,6:34
25,F:\Doll\Video\Doll-k1-v104 - duyệt.mp4,7:13
27,F:\Doll\Video\Doll-k1-v78 - duyệt.mp4,11:15
28,F:\Doll\Video\Doll-k1-v80 - duyệt.mp4,11:08
29,F:\Doll\Video\Doll-K1-V86_new1 - duyệt.mp4,9:36
30,F:\Doll\Video\Doll-K1-V87_New1 - duyệt.mp4,11:13
31,F:\Doll\Video\Doll-k1-v88 - duyệt.mp4,10:58
33,F:\Doll\Video\Doll-k1-v90 - duyệt.mp4,11:13
34,F:\Doll\Video\Doll-k1-v92 - duyệt.mp4,8:26
32,F:\Doll\Video\Doll-k1-v89 - duyệt.mp4,9:49
36,F:\Doll\Video\Doll-k1-v94 - duyệt.mp4,9:51
35,F:\Doll\Video\Doll-k1-v93 - duyệt.mp4,10:32
37,F:\Doll\Video\Doll-k1-v97 - duyệt.mp4,9:42
38,F:\Doll\Video\Doll-k1-v98 - duyệt.mp4,6:25
39,F:\Doll\Video\Doll-k1-v99 - duyệt.mp4,6:45
41,F:\Doll\Video\E106.H - play.mp4,6:31
42,F:\Doll\Video\E107.H.mp4,6:13
40,F:\Doll\Video\E105.H - play.mp4,6:30
43,F:\Doll\Video\E21 Sửa lại lần 1.mp4,9:56
44,F:\Doll\Video\E21.mp4,9:58
45,F:\Doll\Video\E22 sửa lại.mp4,4:44
46,F:\Doll\Video\E22.mp4,4:29
47,F:\Doll\Video\E23.mp4,6:17
51,F:\Doll\Video\E398.H - play.mp4,6:07
48,F:\Doll\Video\E24 sửa.mp4,12:51
49,F:\Doll\Video\E24.mp4,7:18
52,F:\Doll\Video\E42 sửa.mp4,13:12
54,F:\Doll\Video\E54_new.mp4,5:57
55,F:\Doll\Video\E56N_new1.mp4,7:30
53,F:\Doll\Video\E50.H - duyệt - duyệt.mp4,6:40
56,F:\Doll\Video\E57N_new.mp4,7:48
50,F:\Doll\Video\E37 sửa.mp4,11:44
57,F:\Doll\Video\E58N_new.mp4,6:29
60,F:\Doll\Video\E61N.mp4,8:25
58,F:\Doll\Video\E59N_new.mp4,6:15
59,F:\Doll\Video\E60N.mp4,6:47
61,F:\Doll\Video\E62N.H - play - duyệt.mp4,8:36
62,F:\Doll\Video\E63.H - play - duyệt.mp4,6:01
63,F:\Doll\Video\E65.mp4,7:09
65,F:\Doll\Video\E67.mp4,7:03
67,F:\Doll\Video\E69 sửa.mp4,6:03
66,F:\Doll\Video\E68.mp4,5:41
64,F:\Doll\Video\E66.mp4,6:00
69,F:\Doll\Video\E71.mp4,6:33
70,F:\Doll\Video\E72.mp4,6:29
68,F:\Doll\Video\E70.mp4,6:26
71,F:\Doll\Video\E73.mp4,6:01
72,F:\Doll\Video\E74.mp4,7:27
73,F:\Doll\Video\E75.mp4,6:20
75,F:\Doll\Video\E77.mp4,6:00
74,F:\Doll\Video\E76.mp4,6:56
76,F:\Doll\Video\E77H.mp4,6:01
77,F:\Doll\Video\E78.mp4,6:11
78,F:\Doll\Video\E78H.mp4,6:45
79,F:\Doll\Video\E79H.mp4,6:00
82,F:\Doll\Video\E80N.mp4,6:09
83,F:\Doll\Video\E81.mp4,6:17
80,F:\Doll\Video\E79N.H - play.mp4,6:39
81,F:\Doll\Video\E80N.H - play.mp4,6:26
85,F:\Doll\Video\E82.mp4,7:23
84,F:\Doll\Video\E81N.H - play (sửa).mp4,6:21
87,F:\Doll\Video\E83.mp4,8:34
86,F:\Doll\Video\E82N.H - play.mp4,6:38
89,F:\Doll\Video\E85.mp4,8:46
91,F:\Doll\Video\E86.mp4,6:40
88,F:\Doll\Video\E84.mp4,7:19
90,F:\Doll\Video\E86..H - play (sửa)mp4.mp4,7:11
93,F:\Doll\Video\E87.mp4,6:31
92,F:\Doll\Video\E87.H - play (sửa).mp4,6:02
95,F:\Doll\Video\E88.mp4,6:35
94,F:\Doll\Video\E88.H - play (sửa)mp4.mp4,7:36
97,F:\Doll\Video\E89.mp4,6:12
96,F:\Doll\Video\E89.H - play (sửa).mp4,6:01
98,F:\Doll\Video\E90.H - play.mp4,7:39
99,F:\Doll\Video\E90.mp4,6:00
101,F:\Doll\Video\E91.mp4,6:59
100,F:\Doll\Video\E91.H - play (sửa).mp4,6:02
104,F:\Doll\Video\E93H - play (sửa).mp4,8:27
105,F:\Doll\Video\E94.H - play (sửa).mp4,7:42
102,F:\Doll\Video\E92.mp4,6:37
103,F:\Doll\Video\E93.mp4,6:55
107,F:\Doll\Video\E95.H - play.mp4,7:04
106,F:\Doll\Video\E94.mp4,6:50
109,F:\Doll\Video\E96.H - play.mp4,7:29
108,F:\Doll\Video\E95N.H - play.mp4,6:54
111,F:\Doll\Video\E97.H - play (sửa).mp4,8:16
110,F:\Doll\Video\E96N.H - play.mp4,8:44
112,F:\Doll\Video\E97N.H - play.mp4,7:51
114,F:\Doll\Video\E99.H.mp4,6:43
113,F:\Doll\Video\E98.H - play (sua).mp4,7:53
116,F:\Doll\Video\v1 (3).mp4,11:10
115,F:\Doll\Video\v1 (2).mp4,7:57
119,F:\Doll\Video\v10 (2).mp4,9:18
118,F:\Doll\Video\v1.mp4,3:37
121,F:\Doll\Video\v10 rm.mp4,4:27
120,F:\Doll\Video\v10 (3).mp4,8:11
122,F:\Doll\Video\v10 sua lai.mp4,8:50
124,F:\Doll\Video\v100 (2).mp4,6:39
125,F:\Doll\Video\v100 sửa lại.mp4,6:07
126,F:\Doll\Video\v100.mp4,6:08
127,F:\Doll\Video\v101 (2).mp4,6:20
128,F:\Doll\Video\V101-k3.mp4,6:54
130,F:\Doll\Video\v102 (2).mp4,7:15
129,F:\Doll\Video\v101.mp4,6:08
117,F:\Doll\Video\v1 rm.mp4,3:55
132,F:\Doll\Video\v102.mp4,7:22
131,F:\Doll\Video\V102-k3.mp4,6:50
134,F:\Doll\Video\V103 (3).mp4,6:40
133,F:\Doll\Video\v103 (2).mp4,6:46
135,F:\Doll\Video\v103.mp4,6:37
136,F:\Doll\Video\v104 (2).mp4,6:06
123,F:\Doll\Video\v10.mp4,4:15
137,F:\Doll\Video\v104.mp4,6:34
141,F:\Doll\Video\v106 (2).mp4,6:08
139,F:\Doll\Video\v105 (2).mp4,6:02
138,F:\Doll\Video\V104_new.mp4,8:01
140,F:\Doll\Video\v105.mp4,6:07
142,F:\Doll\Video\v106.mp4,6:31
143,F:\Doll\Video\v107 (2).mp4,6:38
144,F:\Doll\Video\v107.mp4,6:02
145,F:\Doll\Video\v108 (2).mp4,6:19
146,F:\Doll\Video\V108.H.mp4,7:12
150,F:\Doll\Video\v109.mp4,6:02
149,F:\Doll\Video\V109-k3.mp4,6:49
147,F:\Doll\Video\v108.mp4,6:00
148,F:\Doll\Video\v109 (2).mp4,6:38
151,F:\Doll\Video\v11 (2).mp4,7:59
152,F:\Doll\Video\v11 rm.mp4,6:03
155,F:\Doll\Video\v110 (2).mp4,6:41
153,F:\Doll\Video\v11 sua lai 2.mp4,12:24
156,F:\Doll\Video\v110.mp4,6:03
157,F:\Doll\Video\v111 (2).mp4,6:12
158,F:\Doll\Video\V111.mp4,5:49
154,F:\Doll\Video\v11.mp4,12:38
161,F:\Doll\Video\v113 (2).mp4,6:03
159,F:\Doll\Video\v112 (2).mp4,6:14
160,F:\Doll\Video\v112.mp4,6:02
162,F:\Doll\Video\v113.mp4,6:11
165,F:\Doll\Video\v115 (2).mp4,6:29
163,F:\Doll\Video\v114 (2).mp4,6:01
166,F:\Doll\Video\v115.mp4,6:04
164,F:\Doll\Video\v114.mp4,6:02
167,F:\Doll\Video\v116 (2).mp4,6:00
171,F:\Doll\Video\v118 (2).mp4,6:02
168,F:\Doll\Video\v116.mp4,6:17
172,F:\Doll\Video\v118.mp4,6:02
169,F:\Doll\Video\v117 (2).mp4,6:00
173,F:\Doll\Video\v119 (2).mp4,6:02
170,F:\Doll\Video\v117.mp4,6:00
174,F:\Doll\Video\v119.mp4,6:02
175,F:\Doll\Video\v12 (2).mp4,10:28
177,F:\Doll\Video\v12 rm.mp4,4:57
176,F:\Doll\Video\v12 (3).mp4,6:54
180,F:\Doll\Video\v120 (2).mp4,5:54
178,F:\Doll\Video\v12 sua lai.mp4,10:28
181,F:\Doll\Video\v120.mp4,6:03
182,F:\Doll\Video\v121 (2).mp4,5:51
183,F:\Doll\Video\V121.H - duyệt.mp4,5:59
185,F:\Doll\Video\v122 sua lai.mp4,6:00
186,F:\Doll\Video\V122.H - duyệt.mp4,6:01
184,F:\Doll\Video\v121.mp4,5:59
187,F:\Doll\Video\v122.mp4,6:01
188,F:\Doll\Video\v123 sua lai.mp4,5:56
189,F:\Doll\Video\V123.H - duyệt.mp4,6:02
190,F:\Doll\Video\v123.mp4,6:02
191,F:\Doll\Video\v124 (2).mp4,6:02
192,F:\Doll\Video\v124.mp4,6:02
193,F:\Doll\Video\v125 sua lai.mp4,6:24
194,F:\Doll\Video\v125.mp4,6:04
195,F:\Doll\Video\v126 sua lai.mp4,5:50
198,F:\Doll\Video\v127.mp4,6:00
197,F:\Doll\Video\v127 sua lai.mp4,5:47
196,F:\Doll\Video\v126.mp4,6:02
199,F:\Doll\Video\v128 sua lai.mp4,6:00
200,F:\Doll\Video\v128.mp4,6:02
179,F:\Doll\Video\v12.mp4,6:32
202,F:\Doll\Video\v129.mp4,6:01
201,F:\Doll\Video\v129 (2).mp4,5:48
204,F:\Doll\Video\v13 (3).mp4,8:17
203,F:\Doll\Video\v13 (2).mp4,6:07
207,F:\Doll\Video\v130.mp4,6:01
208,F:\Doll\Video\v131 (2).mp4,6:21
209,F:\Doll\Video\v131.mp4,5:52
206,F:\Doll\Video\v130 (2).mp4,6:00
210,F:\Doll\Video\v132 sua lai.mp4,6:56
212,F:\Doll\Video\v133 sua lai.mp4,5:59
211,F:\Doll\Video\v132.mp4,5:56
213,F:\Doll\Video\v133.mp4,6:00
214,F:\Doll\Video\v134 sua lai.mp4,6:06
215,F:\Doll\Video\v134.mp4,6:03
217,F:\Doll\Video\v135.mp4,6:01
216,F:\Doll\Video\v135 (2).mp4,5:52
219,F:\Doll\Video\v136.mp4,6:03
218,F:\Doll\Video\V136-k2.mp4,7:07
220,F:\Doll\Video\v137 sua lai.mp4,6:05
221,F:\Doll\Video\V137-k2.mp4,6:34
205,F:\Doll\Video\v13.mp4,6:35
222,F:\Doll\Video\v138-k1.mp4,6:16
223,F:\Doll\Video\V139-k1.mp4,7:05
225,F:\Doll\Video\v13rm.mp4,5:47
226,F:\Doll\Video\v14 (2).mp4,6:33
224,F:\Doll\Video\V139-k2.mp4,7:39
228,F:\Doll\Video\v14 rm.mp4,3:45
227,F:\Doll\Video\v14 (3).mp4,10:27
230,F:\Doll\Video\V140-k1.mp4,7:51
231,F:\Doll\Video\V140-new.mp4,6:33
232,F:\Doll\Video\V141-k1.mp4,6:00
233,F:\Doll\Video\V141-new.mp4,6:50
234,F:\Doll\Video\V142-new (2).mp4,8:32
236,F:\Doll\Video\V143-k2_new.mp4,7:18
235,F:\Doll\Video\v142-new.mp4,6:01
237,F:\Doll\Video\V143-new.mp4,6:18
238,F:\Doll\Video\V144-k1.mp4,8:08
239,F:\Doll\Video\V144-k2_new.mp4,6:06
240,F:\Doll\Video\V145-k1.mp4,6:24
241,F:\Doll\Video\V145-k2_new.mp4,8:01
242,F:\Doll\Video\V146-k1_new3.mp4,6:30
243,F:\Doll\Video\V146-k2.mp4,8:38
244,F:\Doll\Video\V147-k1.mp4,6:32
246,F:\Doll\Video\V148-k1_new.mp4,8:59
229,F:\Doll\Video\v14.mp4,4:05
245,F:\Doll\Video\V147-k2-new5.mp4,6:40
249,F:\Doll\Video\V149-k2-new5.mp4,7:23
247,F:\Doll\Video\V148-k2-new5.mp4,6:14
248,F:\Doll\Video\V149-k1-new.mp4,6:14
250,F:\Doll\Video\v15 (2).mp4,7:10
252,F:\Doll\Video\v15 sua lai (3).mp4,6:57
251,F:\Doll\Video\v15 sua lai (2).mp4,9:42
