stt,file_path,duration
2,E:\Number SLime\Video\02DC.mp4,6:51
1,E:\Number SLime\Video\01DC.mp4,6:40
6,E:\Number B\Video\100BGA.mp4,5:18
4,E:\Number SLime\Video\05DC.mp4,6:15
3,E:\Number SLime\Video\04DC.mp4,6:55
8,E:\Number A\Video\101BFC.mp4,7:04
5,E:\Number A\Video\100BFC.mp4,6:30
7,E:\Rainbow Number\Video\100GC.mp4,8:02
9,E:\Number B\Video\101BGA.mp4,4:54
10,E:\Number A\Video\102BFC.mp4,8:12
11,E:\Number B\Video\102BGA.mp4,4:08
16,E:\Number B\Video\104BGA.mp4,4:02
12,E:\Number A\Video\103BFC.mp4,7:45
15,E:\Number A\Video\104BFC.mp4,6:10
14,E:\Rainbow Number\Video\103GC.mp4,6:37
13,E:\Number B\Video\103BGA.mp4,4:39
17,E:\Rainbow Number\Video\104FC.mp4,5:41
18,E:\Number A\Video\105BFC.mp4,6:55
19,E:\Number B\Video\105BGA.mp4,3:56
24,E:\Number A\Video\107BFC.mp4,7:22
22,E:\Number B\Video\106BGA.mp4,3:36
21,E:\Number A\Video\106BFC.mp4,6:05
20,E:\Rainbow Number\Video\105FC.mp4,5:40
23,E:\Rainbow Number\Video\106FC.mp4,5:57
25,E:\Number B\Video\107BGA.mp4,4:06
30,E:\Number A\Video\109BFC.mp4,6:35
27,E:\Number A\Video\108BFC.mp4,7:23
31,E:\Number B\Video\109BGA.mp4,3:54
26,E:\Rainbow Number\Video\107FC.mp4,6:37
28,E:\Number B\Video\108BGA.mp4,4:13
29,E:\Rainbow Number\Video\108FC.mp4,5:59
32,E:\Rainbow Number\Video\109FC.mp4,4:35
33,E:\Number TC\Video\10AG.mp4,6:46
37,E:\Number A\Video\111BFC.mp4,6:23
36,E:\Rainbow Number\Video\110FC.mp4,3:52
34,E:\Number A\Video\110BFC.mp4,6:30
38,E:\Number B\Video\111BGA.mp4,4:29
35,E:\Number B\Video\110BGA.mp4,3:57
39,E:\Rainbow Number\Video\111FC.mp4,7:42
40,E:\Number A\Video\112BFC.mp4,6:02
41,E:\Number B\Video\112BGA.mp4,6:16
42,E:\Rainbow Number\Video\112FC.mp4,6:08
45,E:\Rainbow Number\Video\113FC.mp4,6:08
44,E:\Number B\Video\113BGA.mp4,5:44
43,E:\Number A\Video\113BFC.mp4,7:27
46,E:\Number B\Video\114BFA.mp4,4:24
47,E:\Number A\Video\114FC.mp4,6:34
48,E:\Rainbow Number\Video\114FC.mp4,6:08
49,E:\Number B\Video\115BFA.mp4,5:30
50,E:\Number A\Video\115BFC.mp4,6:02
52,E:\Number SLime\Video\115FLD.mp4,7:26
53,E:\Number B\Video\116BFA.mp4,4:52
54,E:\Number A\Video\116BFC.mp4,5:45
51,E:\Rainbow Number\Video\115FC.mp4,6:30
55,E:\Rainbow Number\Video\116FC.mp4,5:14
56,E:\Number SLime\Video\116FLD.mp4,7:58
58,E:\Number B\Video\117BFA.mp4,4:11
59,E:\Number A\Video\118BC.mp4,7:18
57,E:\Number A\Video\117BC.mp4,6:13
60,E:\Number B\Video\118BFA.mp4,3:53
62,E:\Number B\Video\119BFA.mp4,4:34
61,E:\Number A\Video\119BC.mp4,5:34
63,E:\Number TC\Video\11AF (2).mp4,6:43
64,E:\Number TC\Video\11AF.mp4,4:51
65,E:\Number A\Video\120BC.mp4,6:06
67,E:\Number A\Video\121BC.mp4,7:15
66,E:\Number B\Video\120BFA.mp4,4:01
68,E:\Number B\Video\121FC.mp4,8:57
69,E:\Number A\Video\122BC.mp4,5:56
70,E:\Number B\Video\122FA.mp4,8:01
71,E:\Number A\Video\123BC.mp4,6:17
73,E:\Rainbow Number\Video\123FD.mp4,4:10
72,E:\Number B\Video\123FA.mp4,9:42
75,E:\Number B\Video\124FA.mp4,8:17
76,E:\Number SLime\Video\124FLA.mp4,5:47
74,E:\Number A\Video\124BC.mp4,7:32
77,E:\Number B\Video\125FC.mp4,7:25
78,E:\Number A\Video\126BB.mp4,6:17
79,E:\Number B\Video\126FC.mp4,7:44
81,E:\Number B\Video\127FC.mp4,9:51
80,E:\Number A\Video\127BC.mp4,5:50
84,E:\Rainbow Number\Video\128FD.mp4,4:54
82,E:\Number A\Video\128BC.mp4,6:19
83,E:\Number B\Video\128FC.mp4,8:19
85,E:\Number A\Video\129BC.mp4,7:55
