stt,file_path,duration
3,F:\Thomas\E113.mp4,6:39
4,F:\Thomas\e114_new - đã duyệt.mp4,6:31
2,F:\Thomas\E112-.mp4,6:41
5,F:\Thomas\e115_new2.mp4,8:01
6,F:\Thomas\E116.mp4,6:47
8,F:\Thomas\E119.mp4,6:53
7,F:\Thomas\E117_new.mp4,5:24
1,F:\Thomas\7CF.mp4,6:22
12,F:\Thomas\E127.mp4,5:58
9,F:\Thomas\E120.mp4,5:58
13,F:\Thomas\E128_new.mp4,6:15
11,F:\Thomas\E126_new.mp4,6:12
15,F:\Thomas\E130_new.mp4,6:02
14,F:\Thomas\E129_new.mp4,5:59
10,F:\Thomas\E121-new.mp4,6:51
16,F:\Thomas\E131.mp4,6:19
17,F:\Thomas\E132-new.mp4,6:35
20,F:\Thomas\E153.mp4,7:42
19,F:\Thomas\E152.mp4,7:05
18,F:\Thomas\E133.mp4,6:33
24,F:\Thomas\E157.mp4,7:04
21,F:\Thomas\E154.mp4,7:20
22,F:\Thomas\E155.mp4,7:33
23,F:\Thomas\E156.mp4,7:00
25,F:\Thomas\E158.mp4,7:44
30,F:\Thomas\E163.mp4,6:26
27,F:\Thomas\E160.mp4,7:14
28,F:\Thomas\E161.mp4,6:45
26,F:\Thomas\E159.mp4,7:44
31,F:\Thomas\E164.mp4,7:06
29,F:\Thomas\E162_new.mp4,7:09
33,F:\Thomas\E166N.mp4,6:51
32,F:\Thomas\E165N.mp4,8:20
35,F:\Thomas\E170.mp4,6:23
34,F:\Thomas\E167N_new_.mp4,6:26
37,F:\Thomas\E172.mp4,6:00
36,F:\Thomas\E171.mp4,7:43
39,F:\Thomas\E174.mp4,6:16
38,F:\Thomas\E173.mp4,7:12
40,F:\Thomas\E178.mp4,6:26
41,F:\Thomas\E179.mp4,8:56
44,F:\Thomas\E182N.mp4,7:04
42,F:\Thomas\E180N.mp4,7:23
43,F:\Thomas\E181N.mp4,7:11
45,F:\Thomas\E183N.mp4,6:23
47,F:\Thomas\E185.mp4,6:14
46,F:\Thomas\E184N.mp4,7:40
48,F:\Thomas\E186.mp4,6:06
50,F:\Thomas\E188N.mp4,6:24
49,F:\Thomas\E187N.mp4,7:28
52,F:\Thomas\E190.mp4,6:03
53,F:\Thomas\E191.mp4,7:51
51,F:\Thomas\E189.mp4,6:00
54,F:\Thomas\E192.mp4,7:21
55,F:\Thomas\E193.mp4,6:17
58,F:\Thomas\E196.mp4,7:27
57,F:\Thomas\E195.mp4,6:30
56,F:\Thomas\E194N.mp4,6:33
59,F:\Thomas\E197.mp4,6:17
60,F:\Thomas\E198.mp4,6:03
61,F:\Thomas\E199.mp4,7:03
62,F:\Thomas\E200.mp4,6:22
63,F:\Thomas\E201.mp4,6:23
68,F:\Thomas\E206.mp4,7:51
64,F:\Thomas\E202.mp4,7:01
65,F:\Thomas\E203.mp4,6:35
66,F:\Thomas\E204.mp4,5:46
