stt,file_path,duration
4,D:\Video\104.mp4,4:53
1,D:\Video\100.mp4,4:22
5,D:\Video\105.mp4,4:28
6,D:\Video\106.mp4,7:18
8,D:\Video\108.mp4,4:10
3,D:\Video\102.mp4,4:31
2,D:\Video\101 mini1.mp4,4:08
7,D:\Video\107 mini1.mp4,4:54
9,D:\Video\109.mp4,4:14
11,D:\Video\111.mp4,4:19
12,D:\Video\112.mp4,4:14
13,D:\Video\113.mp4,4:11
10,D:\Video\110 mini1.mp4,5:28
15,D:\Video\115.mp4,4:15
14,D:\Video\114.mp4,4:42
16,D:\Video\117.mp4,4:02
17,D:\Video\118.mp4,4:21
18,D:\Video\119.mp4,4:22
19,D:\Video\120.mp4,4:10
20,D:\Video\122.mp4,4:07
23,D:\Video\126-.mp4,5:41
21,D:\Video\123.mp4,4:25
22,D:\Video\124.mp4,4:27
24,D:\Video\127.mp4,4:05
25,D:\Video\128.mp4,4:09
26,D:\Video\129.mp4,4:31
27,D:\Video\130.mp4,4:23
28,D:\Video\131.mp4,4:07
30,D:\Video\133.mp4,4:51
29,D:\Video\132.mp4,4:19
35,D:\Video\138.mp4,4:37
34,D:\Video\137.mp4,4:28
33,D:\Video\136.mp4,4:32
31,D:\Video\134.mp4,5:21
32,D:\Video\135-.mp4,4:12
36,D:\Video\139.mp4,5:18
37,D:\Video\140.mp4,4:10
39,D:\Video\142.mp4,4:10
38,D:\Video\141.mp4,5:01
41,D:\Video\144.mp4,4:15
42,D:\Video\145.mp4,4:11
43,D:\Video\146.mp4,4:04
40,D:\Video\143.mp4,4:37
45,D:\Video\148.mp4,4:08
44,D:\Video\147.mp4,4:58
46,D:\Video\149.mp4,5:26
47,D:\Video\150.mp4,4:08
48,D:\Video\151.mp4,4:02
49,D:\Video\152.mp4,4:08
50,D:\Video\153.mp4,5:26
52,D:\Video\156.mp4,4:15
53,D:\Video\157.mp4,4:23
51,D:\Video\154A mini1.mp4,5:58
54,D:\Video\158.mp4,4:00
55,D:\Video\159.mp4,4:19
56,D:\Video\160.mp4,4:22
57,D:\Video\161.mp4,4:24
59,D:\Video\163.mp4,4:01
58,D:\Video\162B.mp4,4:58
