stt,file_path,duration,lastest_used_value
1,\\hai2\Video gốc\Doll\k1\v100 sửa lại.mp4,6:08,34997139
2,\\hai2\Video gốc\Doll\k1\v101.mp4,6:08,35067377
3,\\hai2\Video gốc\Doll\k1\v102.mp4,7:23,34569793
4,\\hai2\Video gốc\Doll\k1\v103.mp4,6:37,34569076
5,\\hai2\Video gốc\Doll\k1\v104.mp4,6:34,34568372
6,\\hai2\Video gốc\Doll\k1\v105.mp4,6:07,34552539
7,\\hai2\Video gốc\Doll\k1\v106.mp4,6:32,33361368
8,\\hai2\Video gốc\Doll\k1\v107.mp4,6:03,33284369
9,\\hai2\Video gốc\Doll\k1\v108.mp4,6:01,33077960
10,\\hai2\Video gốc\Doll\k1\v109.mp4,6:03,32476311
11,\\hai2\Video gốc\Doll\k1\v110.mp4,6:04,32475499
12,\\hai2\Video gốc\Doll\k1\V111.mp4,5:50,32474753
13,\\hai2\Video gốc\Doll\k1\v112.mp4,6:02,32474052
14,\\hai2\Video gốc\Doll\k1\v113.mp4,6:12,32150447
15,\\hai2\Video gốc\Doll\k1\v114.mp4,6:03,32149743
16,\\hai2\Video gốc\Doll\k1\v115.mp4,6:05,32130658
17,\\hai2\Video gốc\Doll\k1\v116.mp4,6:17,32129977
18,\\hai2\Video gốc\Doll\k1\v117.mp4,6:00,31612520
19,\\hai2\Video gốc\Doll\k1\v118.mp4,6:02,31611906
20,\\hai2\Video gốc\Doll\k1\v119.mp4,6:03,31525793
21,\\hai2\Video gốc\Doll\k1\v120.mp4,6:03,30747824
22,\\hai2\Video gốc\Doll\k1\v121.mp4,6:00,30747211
23,\\hai2\Video gốc\Doll\k1\v122.mp4,6:01,30746581
24,\\hai2\Video gốc\Doll\k1\v123.mp4,6:02,30745908
25,\\hai2\Video gốc\Doll\k1\v124.mp4,6:03,30402200
26,\\hai2\Video gốc\Doll\k1\v125.mp4,6:05,30401559
27,\\hai2\Video gốc\Doll\k1\v126.mp4,6:02,30083430
28,\\hai2\Video gốc\Doll\k1\v127.mp4,6:01,30082733
29,\\hai2\Video gốc\Doll\k1\v128.mp4,6:03,29646607
30,\\hai2\Video gốc\Doll\k1\v129.mp4,6:01,29464751
31,\\hai2\Video gốc\Doll\k1\v130.mp4,6:01,29386157
32,\\hai2\Video gốc\Doll\k1\v131.mp4,5:53,29385422
33,\\hai2\Video gốc\Doll\k1\v132 sua lai.mp4,6:57,28534846
34,\\hai2\Video gốc\Doll\k1\v133 sua lai.mp4,5:59,28534150
35,\\hai2\Video gốc\Doll\k1\v134 sua lai.mp4,6:06,28533453
36,\\hai2\Video gốc\Doll\k1\v135.mp4,6:01,28355562
37,\\hai2\Video gốc\Doll\k1\v136.mp4,6:04,28504420
38,\\hai2\Video gốc\Doll\k1\v137 sua lai.mp4,6:05,27665695
39,\\hai2\Video gốc\Doll\k1\v138-k1.mp4,6:16,27670934
40,\\hai2\Video gốc\Doll\k1\V139-k1.mp4,7:06,27670238
41,\\hai2\Video gốc\Doll\k1\V140-k1.mp4,7:52,27637479
42,\\hai2\Video gốc\Doll\k1\V141-k1.mp4,6:00,27140737
43,\\hai2\Video gốc\Doll\k1\v142-new.mp4,6:01,27124026
44,\\hai2\Video gốc\Doll\k1\V143-new.mp4,6:18,27123284
45,\\hai2\Video gốc\Doll\k1\V144-k1.mp4,8:08,27138764
46,\\hai2\Video gốc\Doll\k1\V145-k1.mp4,6:24,26543217
47,\\hai2\Video gốc\Doll\k1\V146-k1_new3.mp4,6:31,25996481
48,\\hai2\Video gốc\Doll\k1\V147-k1.mp4,6:33,26544710
49,\\hai2\Video gốc\Doll\k1\V148-k1_new.mp4,9:00,26516971
50,\\hai2\Video gốc\Doll\k1\V149-k1-new.mp4,6:14,25573317
51,\\hai2\Video gốc\Doll\k1\V150-k1-new3.mp4,6:32,25568429
52,\\hai2\Video gốc\Doll\k1\V151-k1-newnew.mp4,6:35,25397099
53,\\hai2\Video gốc\Doll\k1\V152-k1_new2.mp4,7:06,25570025
54,\\hai2\Video gốc\Doll\k1\V153-k1-new.mp4,7:04,24795734
55,\\hai2\Video gốc\Doll\k1\V154-k1-new.mp4,8:21,24793219
56,\\hai2\Video gốc\Doll\k1\V155-new-k1.mp4,6:48,24794945
57,\\hai2\Video gốc\Doll\k1\V156-k1-new.mp4,6:39,24794084
58,\\hai2\Video gốc\Doll\k1\v157.H.mp4,6:10,24730233
59,\\hai2\Video gốc\Doll\k1\V158.H.mp4,6:12,24617660
60,\\hai2\Video gốc\Doll\k1\V159.H.mp4,6:01,24708628
61,\\hai2\Video gốc\Doll\k1\V160-k1-new.mp4,6:12,23671089
62,\\hai2\Video gốc\Doll\k1\V161-sua.mp4,6:09,23062100
63,\\hai2\Video gốc\Doll\k1\V162-k1.mp4,7:50,23944427
64,\\hai2\Video gốc\Doll\k1\V163-k1-new.mp4,6:15,23523101
65,\\hai2\Video gốc\Doll\k1\V164-k1.mp4,7:28,23945222
66,\\hai2\Video gốc\Doll\k1\V165-suanew.mp4,9:32,22973269
67,\\hai2\Video gốc\Doll\k1\V166-k1.mp4,7:23,23337690
68,\\hai2\Video gốc\Doll\k1\V167-k1.mp4,7:40,23336900
69,\\hai2\Video gốc\Doll\k1\v168-K1.mp4,6:41,23000172
70,\\hai2\Video gốc\Doll\k1\V169-k1.mp4,6:41,22976521
71,\\hai2\Video gốc\Doll\k1\V170-k1.mp4,6:09,22828073
72,\\hai2\Video gốc\Doll\k1\V171-k1.mp4,6:01,22819680
73,\\hai2\Video gốc\Doll\k1\V172.mp4,6:14,22205784
74,\\hai2\Video gốc\Doll\k1\V173.mp4,6:13,22202786
75,\\hai2\Video gốc\Doll\k1\V174.mp4,6:05,22196444
76,\\hai2\Video gốc\Doll\k1\V175.H.mp4,6:57,21596999
77,\\hai2\Video gốc\Doll\k1\V176.H.mp4,4:47,21409938
78,\\hai2\Video gốc\Doll\k1\V177.h.mp4,4:35,21409312
79,\\hai2\Video gốc\Doll\k1\V178.h.mp4,4:02,21180094
80,\\hai2\Video gốc\Doll\k1\V179.mp4,3:51,20752339
81,\\hai2\Video gốc\Doll\k1\V180.mp4,4:32,20992946
82,\\hai2\Video gốc\Doll\k1\V181.mp4,4:27,20992360
83,\\hai2\Video gốc\Doll\k1\V182-k1.mp4,3:41,20390047
84,\\hai2\Video gốc\Doll\k1\V183-k1.mp4,3:53,20389575
85,\\hai2\Video gốc\Doll\k1\V184-k1.mp4,4:08,20389049
86,\\hai2\Video gốc\Doll\k1\V185-k1.mp4,4:26,20388606
87,\\hai2\Video gốc\Doll\k1\V186-k1.mp4,3:50,20388188
88,\\hai2\Video gốc\Doll\k1\V187.mp4,4:36,19871463
89,\\hai2\Video gốc\Doll\k1\V188.mp4,3:49,19869702
90,\\hai2\Video gốc\Doll\k1\V189.mp4,4:00,19867871
91,\\hai2\Video gốc\Doll\k1\V190.mp4,3:47,19867016
92,\\hai2\Video gốc\Doll\k1\V191.mp4,3:45,19862482
93,\\hai2\Video gốc\Doll\k1\V192.mp4,3:49,18319573
94,\\hai2\Video gốc\Doll\k1\V193.mp4,5:43,18319394
95,\\hai2\Video gốc\Doll\k1\v194.mp4,5:07,18539132
96,\\hai2\Video gốc\Doll\k1\v195.mp4,5:30,18538305
97,\\hai2\Video gốc\Doll\k1\V196.mp4,5:24,18319229
98,\\hai2\Video gốc\Doll\k1\v197.mp4,6:22,18537433
99,\\hai2\Video gốc\Doll\k1\V198.mp4,4:51,18591050
100,\\hai2\Video gốc\Doll\k1\V199.mp4,5:55,18514887
101,\\hai2\Video gốc\Doll\k1\v200 - V81.mp4,3:50,17979232
102,\\hai2\Video gốc\Doll\k1\v201 - V82.mp4,4:04,18134244
103,\\hai2\Video gốc\Doll\k1\v202 - V83.mp4,6:01,17734958
104,\\hai2\Video gốc\Doll\k1\v203 - V84.mp4,5:26,18135069
105,\\hai2\Video gốc\Doll\k1\v204 - v85.mp4,5:11,17897576
106,\\hai2\Video gốc\Doll\k1\v205 - v86.mp4,7:12,17896678
107,\\hai2\Video gốc\Doll\k1\v206 - 1E.mp4,4:21,16956104
108,\\hai2\Video gốc\Doll\k1\v207 - 2E.mp4,4:21,16951023
109,\\hai2\Video gốc\Doll\k1\v208 - 5E.mp4,5:19,16944898
110,\\hai2\Video gốc\Doll\k1\v209 - 6EG.mp4,5:03,16438510
111,\\hai2\Video gốc\Doll\k1\v210 - 7C.mp4,6:18,17972245
112,\\hai2\Video gốc\Doll\k1\v211 - 8C.mp4,5:47,17902559
113,\\hai2\Video gốc\Doll\k1\v212 - 11CE.mp4,5:51,17896067
114,\\hai2\Video gốc\Doll\k1\v213 - 12CE.mp4,6:25,17895283
115,\\hai2\Video gốc\Doll\k1\v214 - 16CG.mp4,6:23,16350432
116,\\hai2\Video gốc\Doll\k1\v215 - 18CG.mp4,4:32,15891573
117,\\hai2\Video gốc\Doll\k1\v216 - 19CG.mp4,5:26,15890723
118,\\hai2\Video gốc\Doll\k1\v217 - 20CG.mp4,4:54,15889943
119,\\hai2\Video gốc\Doll\k1\v218 - 21CG.mp4,7:27,15888606
120,\\hai2\Video gốc\Doll\k1\v219 - 28CE.mp4,5:48,14093665
121,\\hai2\Video gốc\Doll\k1\v220 - 29CE.mp4,5:20,14072634
122,\\hai2\Video gốc\Doll\k1\v221 - 30CE.mp4,7:12,14071887
123,\\hai2\Video gốc\Doll\k1\v222 - 31CE.mp4,7:36,14071070
124,\\hai2\Video gốc\Doll\k1\v223 - 32CE.mp4,5:28,13987660
125,\\hai2\Video gốc\Doll\k1\v224 - 33CE.mp4,5:20,13987071
126,\\hai2\Video gốc\Doll\k1\v24.mp4,3:00,46132784
127,\\hai2\Video gốc\Doll\k1\v50 sua lai.mp4,5:36,37927308
128,\\hai2\Video gốc\Doll\k1\v51.mp4,6:59,37927250
129,\\hai2\Video gốc\Doll\k1\v52.mp4,7:22,37927236
130,\\hai2\Video gốc\Doll\k1\v53 sua lai.mp4,6:30,37927249
131,\\hai2\Video gốc\Doll\k1\v54 sua lai.mp4,7:33,37927203
132,\\hai2\Video gốc\Doll\k1\v55.mp4,12:22,41659645
133,\\hai2\Video gốc\Doll\k1\v56.mp4,11:22,37927726
134,\\hai2\Video gốc\Doll\k1\v56t.mp4,8:40,38276980
135,\\hai2\Video gốc\Doll\k1\v57 sua lai.mp4,10:26,37927149
136,\\hai2\Video gốc\Doll\k1\v58.mp4,11:20,37927142
137,\\hai2\Video gốc\Doll\k1\v59.mp4,9:39,37927147
138,\\hai2\Video gốc\Doll\k1\v60.mp4,10:35,41134120
139,\\hai2\Video gốc\Doll\k1\v61.mp4,11:03,39475643
