stt,file_path,duration,lastest_used_value
1,H:\Number\Number 1.0\A\ĐÃ UP\100BFC\100BFC.mp4,06:31,34160339
2,H:\Number\Number 1.0\A\ĐÃ UP\101BFC\101BFC.mp4,07:04,34409638
3,H:\Number\Number 1.0\A\ĐÃ UP\102BFC\102BFC.mp4,08:13,33922963
4,H:\Number\Number 1.0\A\ĐÃ UP\103BFC\103BFC.mp4,07:45,34160562
5,H:\Number\Number 1.0\A\ĐÃ UP\104BFC\104BFC.mp4,06:10,33575621
6,H:\Number\Number 1.0\A\ĐÃ UP\105BFC\105BFC.mp4,06:55,34072024
7,H:\Number\Number 1.0\A\ĐÃ UP\106BFC\106BFC.mp4,06:06,34071829
8,H:\Number\Number 1.0\A\ĐÃ UP\107BFC\107BFC.mp4,07:22,33312895
9,H:\Number\Number 1.0\A\ĐÃ UP\108BFC\108BFC.mp4,07:24,33312634
10,H:\Number\Number 1.0\A\ĐÃ UP\109BFC\109BFC.mp4,06:36,33312355
11,H:\Number\Number 1.0\A\ĐÃ UP\110BFC\110BFC.mp4,06:31,33312132
12,H:\Number\Number 1.0\A\ĐÃ UP\111BFC\111BFC.mp4,06:23,33311940
13,H:\Number\Number 1.0\A\ĐÃ UP\112BFC\112BFC.mp4,06:03,33311696
14,H:\Number\Number 1.0\A\ĐÃ UP\113BFC\113BFC.mp4,08:24,33311416
15,H:\Number\Number 1.0\A\ĐÃ UP\114FC\114FC.mp4,06:35,33111615
16,H:\Number\Number 1.0\A\ĐÃ UP\115BC\115BFC.mp4,06:02,32692525
17,H:\Number\Number 1.0\A\ĐÃ UP\116BFC\116BFC.mp4,05:46,32511246
18,H:\Number\Number 1.0\A\ĐÃ UP\117BC\117BC.mp4,06:14,32961989
19,H:\Number\Number 1.0\A\ĐÃ UP\118BC\118BC.mp4,07:19,32962234
20,H:\Number\Number 1.0\A\ĐÃ UP\119BC\119BC.mp4,05:35,33038058
21,H:\Number\Number 1.0\A\ĐÃ UP\120BC\120BC.mp4,06:06,32962503
22,H:\Number\Number 1.0\A\ĐÃ UP\121BC\121BC.mp4,07:15,33034909
23,H:\Number\Number 1.0\A\ĐÃ UP\122BC\122BC.mp4,05:56,33030746
24,H:\Number\Number 1.0\A\ĐÃ UP\123BC\123BC.mp4,06:17,32364842
25,H:\Number\Number 1.0\A\ĐÃ UP\124BC\124BC.mp4,07:32,32364552
26,H:\Number\Number 1.0\A\ĐÃ UP\126BB\126BB.mp4,06:18,32009479
27,H:\Number\Number 1.0\A\ĐÃ UP\127BC\127BC-1.mp4,05:50,31931740
28,H:\Number\Number 1.0\A\ĐÃ UP\128BC\128BC.mp4,06:20,31929925
29,H:\Number\Number 1.0\A\ĐÃ UP\129BC\129BC.mp4,07:56,31906846
30,H:\Number\Number 1.0\A\ĐÃ UP\130BC\130BC.mp4,08:06,31907102
31,H:\Number\Number 1.0\A\ĐÃ UP\131BHC\131BHC.mp4,06:39,31816545
32,H:\Number\Number 1.0\A\ĐÃ UP\132BHC\132BHC.mp4,07:10,31393478
33,H:\Number\Number 1.0\A\ĐÃ UP\133BHC\133BHC.mp4,04:34,31741077
34,H:\Number\Number 1.0\A\ĐÃ UP\134BHA\134BHA.mp4,07:54,28016870
35,H:\Number\Number 1.0\A\ĐÃ UP\135BHC\135BHC.mp4,06:25,31070986
36,H:\Number\Number 1.0\A\ĐÃ UP\136BHC\136BHC.mp4,07:19,31125786
37,H:\Number\Number 1.0\A\ĐÃ UP\137BHC\137BHC.mp4,06:14,31757433
38,H:\Number\Number 1.0\A\ĐÃ UP\138BHC\138BHC.mp4,05:07,31754884
39,H:\Number\Number 1.0\A\ĐÃ UP\139BGC\139BGC.mp4,07:02,31070247
