stt,file_path,duration,lastest_used_value
1,\\hai2\Video gốc\Thomas\k2\100 - E233.mp4,6:39,31453210
2,\\hai2\Video gốc\Thomas\k2\101 - E234.mp4,6:22,31453042
3,\\hai2\Video gốc\Thomas\k2\102 - E243.mp4,6:33,31022640
4,\\hai2\Video gốc\Thomas\k2\103 - v245.mp4,7:52,30855057
5,\\hai2\Video gốc\Thomas\k2\104 - v246.mp4,6:05,30854675
6,\\hai2\Video gốc\Thomas\k2\105 - E254.mp4,6:54,30839061
7,\\hai2\Video gốc\Thomas\k2\106 - E255.mp4,6:42,30760012
8,\\hai2\Video gốc\Thomas\k2\107 - E256.mp4,6:27,30758228
9,\\hai2\Video gốc\Thomas\k2\108 - E257.mp4,7:04,30754602
10,\\hai2\Video gốc\Thomas\k2\109 - E258.mp4,6:28,30752950
11,\\hai2\Video gốc\Thomas\k2\110 - E259.mp4,6:24,30675537
12,\\hai2\Video gốc\Thomas\k2\111 - E260.mp4,6:29,30675725
13,\\hai2\Video gốc\Thomas\k2\112 - E261.mp4,7:26,30673077
14,\\hai2\Video gốc\Thomas\k2\113 - E262.mp4,6:50,30667882
15,\\hai2\Video gốc\Thomas\k2\114 - E263.mp4,6:29,30328058
16,\\hai2\Video gốc\Thomas\k2\115 - E264.mp4,7:59,30325038
17,\\hai2\Video gốc\Thomas\k2\116 - v273.mp4,5:55,30151838
18,\\hai2\Video gốc\Thomas\k2\117 - E274.mp4,6:14,30169098
19,\\hai2\Video gốc\Thomas\k2\118 - E275.mp4,6:11,30087635
20,\\hai2\Video gốc\Thomas\k2\119 - E276.mp4,6:35,30083413
21,\\hai2\Video gốc\Thomas\k2\120 - E277.mp4,6:06,29995817
22,\\hai2\Video gốc\Thomas\k2\121 - E280.mp4,6:18,29984904
23,\\hai2\Video gốc\Thomas\k2\122 - E282.mp4,7:19,29726332
24,\\hai2\Video gốc\Thomas\k2\123 - E283.mp4,6:25,29724976
25,\\hai2\Video gốc\Thomas\k2\124 - E284_new.mp4,6:13,29549273
26,\\hai2\Video gốc\Thomas\k2\125 - E285.mp4,6:49,29721012
27,\\hai2\Video gốc\Thomas\k2\126 - E286.mp4,6:16,29713719
28,\\hai2\Video gốc\Thomas\k2\127 - E287.mp4,6:16,29657070
29,\\hai2\Video gốc\Thomas\k2\128 - E288.mp4,6:39,29649971
30,\\hai2\Video gốc\Thomas\k2\129 - E289.mp4,6:44,29640412
31,\\hai2\Video gốc\Thomas\k2\130 - E290.mp4,6:40,29637573
32,\\hai2\Video gốc\Thomas\k2\131 - E291.mp4,6:45,29632955
33,\\hai2\Video gốc\Thomas\k2\132 - v292.mp4,6:35,29554005
34,\\hai2\Video gốc\Thomas\k2\133 - v307.mp4,6:17,28785376
35,\\hai2\Video gốc\Thomas\k2\134 - v308.mp4,6:03,28784998
36,\\hai2\Video gốc\Thomas\k2\135 - E313.mp4,6:02,28506282
37,\\hai2\Video gốc\Thomas\k2\136 - E314_new1.mp4,7:56,28267334
38,\\hai2\Video gốc\Thomas\k2\137 - E315_new1.mp4,7:02,28267114
39,\\hai2\Video gốc\Thomas\k2\138 - E316_new1.mp4,6:52,28266909
40,\\hai2\Video gốc\Thomas\k2\139 - E321.H - play.mp4,6:35,28340353
41,\\hai2\Video gốc\Thomas\k2\140 - E322.H - play.mp4,6:05,28338330
42,\\hai2\Video gốc\Thomas\k2\141 - E323.mp4,6:43,28362487
43,\\hai2\Video gốc\Thomas\k2\142 - E324.mp4,6:56,28362107
44,\\hai2\Video gốc\Thomas\k2\143 - E325.H - play.mp4,5:58,27294676
45,\\hai2\Video gốc\Thomas\k2\144 - E326.H - play.mp4,6:44,27294849
46,\\hai2\Video gốc\Thomas\k2\145 - E333.H - play.mp4,6:15,27646401
47,\\hai2\Video gốc\Thomas\k2\146 - E334.H - play (sửa).mp4,6:20,27218850
48,\\hai2\Video gốc\Thomas\k2\147 - E335.H - play (sửa).mp4,6:58,27218551
49,\\hai2\Video gốc\Thomas\k2\148 - v341.mp4,6:51,27236247
50,\\hai2\Video gốc\Thomas\k2\149 - E342.H - play (sửa).mp4,6:03,26697988
51,\\hai2\Video gốc\Thomas\k2\150 - E343.H - play.mp4,6:10,27144031
52,\\hai2\Video gốc\Thomas\k2\151 - E336.H - play.mp4,7:06,27316420
53,\\hai2\Video gốc\Thomas\k2\152 - E346.H - play.mp4,6:17,27040538
54,\\hai2\Video gốc\Thomas\k2\153 - E347.mp4,6:00,27041866
55,\\hai2\Video gốc\Thomas\k2\154 - E354.H - play_1.mp4,6:51,26438228
56,\\hai2\Video gốc\Thomas\k2\155 - E355.H - play.mp4,7:41,26356243
57,\\hai2\Video gốc\Thomas\k2\156 - E356.H - play (sửa).mp4,6:51,26364252
58,\\hai2\Video gốc\Thomas\k2\157 - E357.H - play.mp4,6:35,26338283
59,\\hai2\Video gốc\Thomas\k2\158 - E358.H - play (sửa).mp4,6:46,26111684
60,\\hai2\Video gốc\Thomas\k2\159 - E359.H - play.mp4,6:17,26205576
61,\\hai2\Video gốc\Thomas\k2\160 - E364.H - play (sửa).mp4,6:48,26010008
62,\\hai2\Video gốc\Thomas\k2\161 - E365.H - play.mp4,6:34,26112425
63,\\hai2\Video gốc\Thomas\k2\162 - E366.H - play.mp4,6:30,26105991
64,\\hai2\Video gốc\Thomas\k2\163 - E367H - play.mp4,6:17,26027158
65,\\hai2\Video gốc\Thomas\k2\164 - E368.H - play.mp4,6:02,26436898
66,\\hai2\Video gốc\Thomas\k2\165 - E369.H - play.mp4,6:10,26436409
67,\\hai2\Video gốc\Thomas\k2\166 - E374.H - play.mp4,7:48,26193125
68,\\hai2\Video gốc\Thomas\k2\167 - E375.H - play.mp4,6:27,26178494
69,\\hai2\Video gốc\Thomas\k2\168 - E376.H - play.mp4,6:10,25770067
70,\\hai2\Video gốc\Thomas\k2\169 - E383.H (sua).mp4,6:01,24894151
71,\\hai2\Video gốc\Thomas\k2\170 - E384.H (sua).mp4,6:01,24895683
72,\\hai2\Video gốc\Thomas\k2\171 - E385H - play.mp4,6:08,25579036
73,\\hai2\Video gốc\Thomas\k2\172 - E386.H - PLAY.mp4,6:23,25580264
74,\\hai2\Video gốc\Thomas\k2\173- E387.H - play.mp4,5:56,25577132
75,\\hai2\Video gốc\Thomas\k2\174 - E388.H (sua).mp4,6:02,24895242
76,\\hai2\Video gốc\Thomas\k2\175 - E389.H - play.mp4,7:02,25571546
77,\\hai2\Video gốc\Thomas\k2\176 - E390.H - play.mp4,6:12,25567278
78,\\hai2\Video gốc\Thomas\k2\177 - E391.H - play.mp4,6:15,25506397
79,\\hai2\Video gốc\Thomas\k2\178 - E392.H - play.mp4,6:29,25505731
80,\\hai2\Video gốc\Thomas\k2\179 - E393.H - play.mp4,6:01,25503439
81,\\hai2\Video gốc\Thomas\k2\180 - E394.H -play.mp4,6:29,25501002
82,\\hai2\Video gốc\Thomas\k2\181 - E401.H.mp4,6:44,24896153
83,\\hai2\Video gốc\Thomas\k2\182 - E402.H.mp4,7:17,24881967
84,\\hai2\Video gốc\Thomas\k2\183 - E403.H.mp4,6:25,24877975
85,\\hai2\Video gốc\Thomas\k2\184 - E404.H.mp4,6:01,24635179
86,\\hai2\Video gốc\Thomas\k2\185 - E405.H.mp4,6:54,24622600
87,\\hai2\Video gốc\Thomas\k2\186 - V412.mp4,6:26,24275434
88,\\hai2\Video gốc\Thomas\k2\187 - V413.mp4,6:43,24276115
89,\\hai2\Video gốc\Thomas\k2\188 - V414.mp4,7:06,24532735
90,\\hai2\Video gốc\Thomas\k2\189 - V419.H.mp4,6:03,24122070
