stt,file_path,duration,lastest_used_value
1,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\103DC\103DC.mp4,4:34,39044950
2,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\407GA\407GA mini1.mp4,4:41,32756450
3,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\409GA\409GA mini1.mp4,3:54,34281212
4,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\410GA\410GA.mp4,3:27,34280854
5,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\462HD\462HD_31.mp4,6:58,34467919
6,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\464FA\464FA mini1.mp4,5:21,33015237
7,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\467FD\V467FD.mp4,7:00,34387467
8,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\469HA\469HA mini1_1.mp4,5:57,36699379
9,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\471HD\V471.mp4,5:15,36031035
10,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\473HD\473HD.mp4,6:20,34461663
11,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\478GA\478GA-1.mp4,4:25,34280286
12,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\480GD\480GD.mp4,4:01,33250191
13,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\481HD\481HD.mp4,4:37,34462634
14,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\482HD\V482HD.mp4,3:30,34463633
15,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\483HD\V483HD.mp4,3:10,34463302
16,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\484HD\484HD_11.mp4,4:42,34226963
17,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\485HD\V485HD.mp4,3:05,30251697
18,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\486HD\V486HD sửa.mp4,4:38,33248618
19,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\487HD\V487HD.mp4,3:55,33679488
20,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\488HD\V488HD.mp4,3:40,33190492
21,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\494GB\494.mp4,3:45,31517533
22,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\498HB\498HB_1.mp4,4:26,30421842
23,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\500GD\V500GD.mp4,4:48,30252296
24,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\501GB\501GB.mp4,3:34,29811194
25,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\502GA\502GA.mp4,4:14,27639988
26,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\503HD\V503HD.mp4,4:08,30923724
27,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\504HD\V504HD.mp4,4:50,30076561
28,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\505HB\505HB.mp4,4:51,29809876
29,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\506HD\V506HD.mp4,4:54,29813139
30,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\507HD\V507HD.mp4,5:36,29635439
31,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\508HD\V508HD-1.mp4,4:05,29615368
32,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\509HB\509HB.mp4,4:18,29809074
33,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\510HA\510HA.mp4,4:36,29445188
34,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\511HA\511HA.mp4,3:08,29448507
35,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\512HA\512HA-1.mp4,3:16,29447139
36,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\513HA\513HA.mp4,3:14,29445364
37,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\514HD\V514HD_1.mp4,4:10,29380345
38,E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\515HB\515FB_1.mp4,5:09,28518882
